Year,Global
1850,500.6
1851,492.7
1852,548.5
1853,546.8
1854,544.8
1855,542.1
1856,547.7
1857,553.3
1858,558.6
1859,564
1860,569
1861,579.6
1862,520.9
1863,521.1
1864,521.6
1865,522.4
1866,522.5
1867,520.8
1868,519.2
1869,517.5
1870,516.3
1871,536.7
1872,623.2
1873,634.1
1874,641.1
1875,648.4
1876,655.5
1877,662.4
1878,669.5
1879,676.4
1880,682.9
1881,718.9
1882,672.7
1883,678.3
1884,683.4
1885,687.7
1886,690.4
1887,689.8
1888,688.6
1889,687.2
1890,685.9
1891,681.5
1892,695
1893,695.8
1894,713.3
1895,717.5
1896,719.4
1897,723
1898,724.5
1899,725.8
1900,726.9
1901,792.8
1902,796.8
1903,825.9
1904,852.4
1905,878.5
1906,909.5
1907,918.6
1908,927.9
1909,935.3
1910,941
1911,882.9
1912,846.2
1913,815.9
1914,804.8
1915,793
1916,795.1
1917,798.2
1918,801.4
1919,807.1
1920,808.8
1921,856.7
1922,849.1
1923,857
1924,862.7
1925,865.6
1926,870.5
1927,909.7
1928,913
1929,940
1930,1018.1
1931,1028.7
1932,930.8
1933,927.6
1934,915.3
1935,913.7
1936,922
1937,899.3
1938,902.4
1939,900.5
1940,887.5
1941,870.2
1942,891.3
1943,886.4
1944,892.3
1945,894.1
1946,976.9
1947,1008.9
1948,1015.8
1949,1024.9
1950,1037.3
1951,1258.3
1952,1284.7
1953,1280.9
1954,1335
1955,1379.5
1956,1438.9
1957,1469.1
1958,1520.8
1959,1397.8
1960,1385.8
1961,1463.9
1962,1460
1963,1474.9
1964,1487.1
1965,1505
1966,1539.3
1967,1545.8
1968,1477.7
1969,1483.1
1970,1439.7
1971,1291.7
1972,1264.2
1973,1248.7
1974,1254.5
1975,1245.1
1976,1311.9
1977,1315.1
1978,1311.9
1979,1283.8
1980,1239.9
1981,1263.4
1982,1463
1983,1512.9
1984,1560.1
1985,1583.2
1986,1601.1
1987,1611.1
1988,1638.5
1989,1647
1990,1643.7
1991,1712.5
1992,1605
1993,1593.8
1994,1580.5
1995,1561.6
1996,1531.3
1997,1491.3
1998,1487.2
1999,1449.2
2000,1409.9
2001,1385.4
2002,1517.7
2003,1513.2
2004,1534.9
2005,1467.3
